khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
1Văn Miếu - Quốc Tử Giám,phường,"Phường Khâm Thiên, Phường Thổ Quan, Phường Văn Chương, Phường Điện Biên, Phường Hàng Bột, Phường Văn Miếu Quốc Tử Giám, Phường Cửa Nam (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm, phường Cửa Nam, phường Ba Đình), Phường Lê Đại Hành (phần còn lại sau khi sáp nhập vào phường Hai Bà Trưng, phường Bạch Mai), Phường Nam Đồng (phần còn lại sau khi sáp nhập vào phường Đống Đa, phường Kim Liên), Phường Nguyễn Du (phần còn lại sau khi sáp nhập vào phường Cửa Nam, phường Hai Bà Trưng), Phường Phương Liên Trung Tự (phần còn lại sau khi sáp nhập vào phường Kim Liên)",1.92,Văn Miếu - Quốc Tử Giám,Thủ đô Hà Nội,105604,"Số 188 Kim Hoa, phường Văn Miếu - Quốc Tử Giám",1942337
1Kim Liên,phường,"Phường Kim Liên, Phường Khương Thượng, Phường Nam Đồng, Phường Phương Liên Trung Tự, Phường Trung Liệt, Phường Phương Mai (phần còn lại sau khi sáp nhập vào phường Bạch Mai), Phường Quang Trung (quận Đống Đa) (phần còn lại sau khi sáp nhập vào phường Đống Đa)",2.46,Kim Liên,Thủ đô Hà Nội,109107,"Số 2 ngõ 4B phố Đặng Văn Ngữ, phường Kim Liên",2446041
1Ba Đình,phường,"Phường Quán Thánh, Phường Trúc Bạch, Phường Cửa Nam, Phường Điện Biên, Phường Đội Cấn, Phường Kim Mã, Phường Ngọc Hà, Phường Thụy Khuê, Phường Cửa Đông (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm), Phường Đồng Xuân (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm)",2.97,Ba Đình,Thủ đô Hà Nội,65023,"Số 2, phố Trúc Bạch, phường Ba Đình",2964945
1Cầu Giấy,phường,"Phường Dịch Vọng, Phường Dịch Vọng Hậu, Phường Quan Hoa, Phường Mỹ Đình 1, Phường Mỹ Đình 2, Phường Yên Hòa",3.74,Cầu Giấy,Thủ đô Hà Nội,74516,"Số 96 Trần Thái Tông, phường Cầu Giấy",3951691
1Ngọc Hà,phường,"Phường Vĩnh Phúc, Phường Liễu Giai, Phường Cống Vị, Phường Kim Mã, Phường Ngọc Khánh, Phường Nghĩa Đô, Phường Đội Cấn (phần còn lại sau khi sáp nhập vào phường Ba Đình), Phường Ngọc Hà (phần còn lại sau khi sáp nhập vào phường Ba Đình)",2.68,Ngọc Hà,Thủ đô Hà Nội,93536,"Số 25, phố Liễu Giai, phường Ngọc Hà",2634903
1Xuân Đỉnh,phường,"Phường Xuân Đỉnh, Phường Cổ Nhuế 1 (phần còn lại sau khi sáp nhập vào phường Nghĩa Đô, phường Phú Diễn), Phường Xuân La (phần còn lại sau khi sáp nhập vào phường Nghĩa Đô, phường Tây Hồ, phường Phú Thượng), Phường Xuân Tảo (phần còn lại sau khi sáp nhập vào phường Nghĩa Đô, phường Phú Thượng)",5.46,Xuân Đỉnh,Thủ đô Hà Nội,48658,"Phố Minh Tảo, phường Xuân Đỉnh",5496328
1Giảng Võ,phường,"Phường Giảng Võ, Phường Cát Linh, Phường Láng Hạ, Phường Ngọc Khánh, Phường Thành Công, Phường Cống Vị (phần còn lại sau khi sáp nhập vào phường Ngọc Hà), Phường Kim Mã (phần còn lại sau khi sáp nhập vào phường Ba Đình, phường Ngọc Hà)",2.6,Giảng Võ,Thủ đô Hà Nội,97034,"Số 525, phố Kim Mã, phường Giảng Võ",2591966
1Phú Thượng,phường,"Phường Đông Ngạc, Phường Xuân La, Phường Xuân Đỉnh, Phường Xuân Tảo, Phường Phú Thượng (phần còn lại sau khi sáp nhập vào phường Hồng Hà, phường Tây Hồ)",7.21,Phú Thượng,Thủ đô Hà Nội,39322,"Số 58 Phú Xá, phường Phú Thượng",7281701
1Tây Hồ,phường,"Phường Bưởi, Phường Phú Thượng, Phường Xuân La, Phường Nhật Tân (phần còn lại sau khi sáp nhập vào phường Hồng Hà), Phường Quảng An (phần còn lại sau khi sáp nhập vào phường Hồng Hà), Phường Tứ Liên (phần còn lại sau khi sáp nhập vào phường Hồng Hà), Phường Yên Phụ (phần còn lại sau khi sáp nhập vào phường Hồng Hà), Phường Nghĩa Đô (phần còn lại sau khi sáp nhập vào phường Ngọc Hà, phường Nghĩa Đô), Phường Thụy Khuê (phần còn lại sau khi sáp nhập vào phường Ba Đình)",10.72,Tây Hồ,Thủ đô Hà Nội,100122,"Số 657 Lạc Long Quân, phường Tây Hồ",10626760
1Yên Hòa,phường,"Phường Mễ Trì, Phường Nhân Chính, Phường Trung Hòa, Phường Yên Hòa (phần còn lại sau khi sáp nhập vào phường Cầu Giấy)",4.1,Yên Hòa,Thủ đô Hà Nội,77029,"Số 231 Nguyễn Ngọc Vũ, phường Yên Hòa",4160449
1Nghĩa Đô,phường,"Phường Nghĩa Tân, Phường Cổ Nhuế 1, Phường Mai Dịch, Phường Nghĩa Đô, Phường Xuân La, Phường Xuân Tảo, Phường Dịch Vọng (phần còn lại sau khi sáp nhập vào phường Cầu Giấy), Phường Dịch Vọng Hậu (phần còn lại sau khi sáp nhập vào phường Cầu Giấy), Phường Quan Hoa (phần còn lại sau khi sáp nhập vào phường Cầu Giấy)",4.34,Nghĩa Đô,Thủ đô Hà Nội,125568,"Số 45 phố Nghĩa Tân, phường Nghĩa Đô",4411147
1Từ Liêm,phường,"Phường Cầu Diễn, Phường Mễ Trì, Phường Phú Đô, Phường Mai Dịch (phần còn lại sau khi sáp nhập vào phường Nghĩa Đô, phường Phú Diễn), Phường Mỹ Đình 1 (phần còn lại sau khi sáp nhập vào phường Cầu Giấy), Phường Mỹ Đình 2 (phần còn lại sau khi sáp nhập vào phường Cầu Giấy)",10.18,Từ Liêm,Thủ đô Hà Nội,119997,"Số 125 đường Hồ Tùng Mậu, phường Từ Liêm",10117427
1Xuân Phương,phường,"Phường Phương Canh, Phường Xuân Phương, Phường Đại Mỗ, Phường Tây Mỗ, Xã Vân Canh, Phường Minh Khai (quận Bắc Từ Liêm) (phần còn lại sau khi sáp nhập vào phường Tây Tựu, phường Đông Ngạc, phường Thượng Cát), Phường Phúc Diễn (phần còn lại sau khi sáp nhập vào phường Phú Diễn)",10.81,Xuân Phương,Thủ đô Hà Nội,104947,"Số 28 đường Foresa 4B, KĐT Xuân Phương, phường Xuân Phương",10888415
1Đại Mỗ,phường,"Phường Đại Mỗ, Phường Dương Nội, Phường Mộ Lao, Phường Mễ Trì (phần còn lại sau khi sáp nhập vào phường Yên Hòa, phường Từ Liêm), Phường Nhân Chính (phần còn lại sau khi sáp nhập vào phường Thanh Xuân, phường Yên Hòa), Phường Trung Hòa (phần còn lại sau khi sáp nhập vào phường Thanh Xuân, phường Yên Hòa), Phường Phú Đô (phần còn lại sau khi sáp nhập vào phường Từ Liêm), Phường Trung Văn (phần còn lại sau khi sáp nhập vào phường Thanh Xuân)",8.1,Đại Mỗ,Thủ đô Hà Nội,80462,"Số 76 đường Trung Văn, phường Đại Mỗ",8116577
1Thượng Cát,phường,"Phường Liên Mạc, Phường Thượng Cát, Phường Minh Khai (quận Bắc Từ Liêm), Phường Tây Tựu, Phường Cổ Nhuế 2 (phần còn lại sau khi sáp nhập vào phường Đông Ngạc), Phường Thụy Phương (phần còn lại sau khi sáp nhập vào phường Đông Ngạc)",14.77,Thượng Cát,Thủ đô Hà Nội,24692,"Số 55 đường Yên Nội, phường Thượng Cát",14817950
1Đông Ngạc,phường,"Phường Đức Thắng, Phường Cổ Nhuế 2, Phường Thụy Phương, Phường Minh Khai (quận Bắc Từ Liêm), Phường Đông Ngạc (phần còn lại sau khi sáp nhập vào phường Phú Thượng), Phường Xuân Đỉnh (phần còn lại sau khi sáp nhập vào phường Phú Thượng, phường Xuân Đỉnh)",8.85,Đông Ngạc,Thủ đô Hà Nội,83544,"Phố Văn Hội, tổ dân phố số 2 phường Đông Ngạc",8941067
1Tây Tựu,phường,"Phường Minh Khai (quận Bắc Từ Liêm), Phường Tây Tựu, Xã Kim Chung (huyện Hoài Đức)",7.54,Tây Tựu,Thủ đô Hà Nội,39436,"Tổ dân phố Ngọa Long 2, phường Tây Tựu",7576403
3Hà Tu,phường,"Phường Hà Phong, Phường Hà Tu",37.6,Hà Tu,tỉnh Quảng Ninh,29643,"Trụ sở Đảng ủy, HĐND, UBND phường Hà Phong",34450423
1Phú Diễn,phường,"Phường Phú Diễn, Phường Cổ Nhuế 1, Phường Mai Dịch, Phường Phúc Diễn",6.29,Phú Diễn,Thủ đô Hà Nội,74603,"Tổ dân phố số 18, phường Phú Diễn",6364410
1Tây Mỗ,phường,"Phường Đại Mỗ, Phường Dương Nội, Xã An Khánh, Phường Tây Mỗ (phần còn lại sau khi sáp nhập vào phường Xuân Phương)",5.56,Tây Mỗ,Thủ đô Hà Nội,46894,"Số 169 đường Đại Mỗ, phường Tây Mỗ",5569399
15Vân Sơn,phường,"Phường Bình Minh, Phường Vân Sơn",39.61,Vân Sơn,tỉnh Sơn La,15917,"Tổ Dân phố đoàn kết, Phường Vân Sơn, tỉnh Sơn La",39938600
3Hồng Gai,phường,"Phường Bạch Đằng, Phường Trần Hưng Đạo, Phường Hồng Gai",5.0,Hồng Gai,tỉnh Quảng Ninh,51333,"Trụ sở Đảng ủy, HĐND, UBND phường Trần Hưng Đạo",5984765
3Hạ Long,phường,"Phường Hồng Hà, Phường Hồng Hải",6.08,Hạ Long,tỉnh Quảng Ninh,52905,"Trụ sở Đảng ủy, HĐND, UBND phường Hồng Hải",6343599
15Mộc Châu,phường,"Phường Mộc Lỵ, Phường Mường Sang, Xã Chiềng Hắc",167.62,Mộc Châu,tỉnh Sơn La,21087,"Tổ dân phố 5, Phường Mộc Châu, tỉnh Sơn La",169361948
31Cai Lậy,phường,"Phường 4 (thị xã Cai Lậy), Phường 5 (thị xã Cai Lậy), Xã Long Khánh",25.5,Cai Lậy,tỉnh Đồng Tháp,34117,Trung tâm hành chính công TX Cai Lậy,25477990
31Mỹ Phước Tây,phường,"Phường 1 (thị xã Cai Lậy), Phường 3 (thị xã Cai Lậy), Xã Mỹ Hạnh Trung, Xã Mỹ Phước Tây",None,Mỹ Phước Tây,tỉnh Đồng Tháp,đang cập nhật,Thị ủy - UBND TX Cai Lậy,36227115
16Nghi Sơn,phường,"Phường Hải Thượng, Xã Hải Hà, Xã Nghi Sơn",42.82,Nghi Sơn,tỉnh Thanh Hóa,32939,Trụ sở xã Hải Thượng,44328731
23Nha Trang,phường,"Phường Vạn Thạnh, Phường Lộc Thọ, Phường Vĩnh Nguyên, Phường Tân Tiến, Phường Phước Hòa",47.12,Nha Trang,tỉnh Khánh Hòa,136118,UBND TP Nha Trang - số 42 Lê Thánh Tôn,47846889
