khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
18Nam Hồng Lĩnh,phường,"Phường Nam Hồng, Phường Đậu Liêu, Xã Thuận Lộc",52.21,Nam Hồng Lĩnh,tỉnh Hà Tĩnh,26133,UBND phường Nam Hồng,36700102
18Bắc Hồng Lĩnh,phường,"Phường Bắc Hồng, Phường Đức Thuận, Phường Trung Lương, Xã Xuân Lam",35.31,Bắc Hồng Lĩnh,tỉnh Hà Tĩnh,28729,Thị ủy Hồng Lĩnh,34723561
18Sông Trí,phường,"Phường Hưng Trí, Phường Kỳ Trinh, Xã Kỳ Châu, Xã Kỳ Lợi",69.9,Sông Trí,tỉnh Hà Tĩnh,37314,UBND phường Sông Trí,71106205
18Vũng Áng,phường,"Phường Kỳ Long, Phường Kỳ Thịnh, Xã Kỳ Lợi",82.98,Vũng Áng,tỉnh Hà Tĩnh,21339,UBND phường Kỳ Thịnh,82547263
18Hoành Sơn,phường,"Phường Kỳ Nam, Phường Kỳ Phương, Phường Kỳ Liên, Xã Kỳ Lợi",70.48,Hoành Sơn,tỉnh Hà Tĩnh,21004,UBND phường Kỳ Phương,67907495
18Hải Ninh,phường,"Phường Kỳ Ninh, Xã Kỳ Hà, Xã Kỳ Hải",39.37,Hải Ninh,tỉnh Hà Tĩnh,20399,UBND phường Kỳ Ninh,37613794
18Trần Phú,phường,"Phường Thạch Trung, Phường Đồng Môn, Phường Thạch Hạ, Xã Hộ Độ",29.5,Trần Phú,tỉnh Hà Tĩnh,38404,UBND xã Thạch Hạ,29788606
18Thành Sen,phường,"Phường Bắc Hà, Phường Thạch Quý, Phường Tân Giang, Phường Thạch Hưng, Phường Nam Hà, Phường Trần Phú, Phường Hà Huy Tập, Phường Văn Yên, Phường Đại Nài",28.23,Thành Sen,tỉnh Hà Tĩnh,90983,UBND thành phố Hà Tĩnh,29866873
14Tân Phong,phường,"Phường Tân Phong, Phường Đông Phong, Xã San Thàng, Xã Nùng Nàng, Xã Bản Giang",106.77,Tân Phong,tỉnh Lai Châu,36456,"Phố Trần Đại nghĩa, Tổ 26, Phường Tân Phong, tỉnh Lai Châu",108320074
14Đoàn Kết,phường,"Phường Đoàn Kết, Phường Quyết Tiến, Phường Quyết Thắng, Xã Lản Nhì Thàng, Xã Sùng Phài",134.31,Đoàn Kết,tỉnh Lai Châu,25403,"Số 68, Đường Võ Giáp, Phường Đoàn Kết",136261256
